Prevalence	TotalAbundance	Domain	Phylum	Class	Order	Family	Genus	Species	OTU
1	9	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	NA	NA	NA
1	14	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA	NA	NA
2	1401	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	NA	NA	NA
3	309	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	NA	NA	NA
11	375	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	NA	NA	NA
1	45	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup_17	Subgroup_17	NA	NA	NA
1	8	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	NA	NA	NA
3	307	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	NA	NA	NA
2	25	Bacteria	Acidobacteriota	Blastocatellia	11-24	11-24	NA	NA	NA
2	54	Bacteria	Acidobacteriota	Blastocatellia	DS-100	DS-100	NA	NA	NA
24	3433	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	NA	NA	NA
5	365	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	NA	NA	NA
1	5	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	NA	NA	NA
5	49	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA	NA
1	35	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	NA	NA	NA
12	571	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	NA	NA	NA
2	32	Bacteria	Chloroflexi	Ktedonobacteria	C0119	C0119	NA	NA	NA
1	21	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	NA	NA	NA
1	6	Bacteria	Elusimicrobiota	Lineage_IIb	Lineage_IIb	Lineage_IIb	NA	NA	NA
1	49	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	NA	NA	NA
3	122	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	NA	NA	NA
1	15	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	uncultured	NA	NA	NA
24	2424	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	NA	NA	NA
2	62	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	NA	NA	NA
1	152	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	NA	NA	NA
2	257	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA	NA
1	20	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	NA	NA	NA
1	212	Bacteria	Firmicutes	Thermoanaerobacteria	Thermoanaerobacterales	Family_III	NA	NA	NA
4	778	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	NA	NA	NA
6	86	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	NA	NA	NA
2	155	Bacteria	Firmicutes	Bacilli	Thermicanales	Thermicanaceae	NA	NA	NA
16	2255	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	NA	NA	NA
1	8	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	NA	NA	NA
11	2562	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	NA	NA	NA
1	248	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	NA	NA	NA
2	156	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	NA	NA	NA
21	4327	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	NA	NA
15	25075	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	NA	NA	NA
2	302	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	NA	NA	NA
3	97	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	NA
8	5795	Bacteria	Cyanobacteria	Vampirivibrionia	Vampirovibrionales	Vampirovibrionaceae	NA	NA	NA
5	128	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	NA	NA	NA
2	65	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Microcystaceae	NA	NA	NA
2	30	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	NA	NA	NA
3	798	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	uncultured	NA	NA	NA
1	2	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	NA	NA	NA
1	11	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriales_Incertae_Sedis	NA	NA	NA
16	4267	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	NA	NA	NA
1	6	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	Gastranaerophilales	NA	NA	NA
1	2	Bacteria	Cyanobacteria	Vampirivibrionia	Vampirovibrionales	Vampirovibrionales	NA	NA	NA
8	422	Bacteria	Cyanobacteria	Sericytochromatia	Sericytochromatia	Sericytochromatia	NA	NA	NA
3	33	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	NA	NA	NA
42	8370	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	NA	NA	NA
4	268	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	NA	NA	NA
1	10	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	NA	NA	NA
47	14571	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	NA	NA	NA
16	2088	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	NA	NA
3	25	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Cryptosporangiaceae	NA	NA	NA
16	1039	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Nakamurellaceae	NA	NA	NA
10	1461	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	NA	NA	NA
16	1723	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	NA	NA	NA
1	14	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	NA	NA	NA
1	10	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcales_Incertae_Sedis	NA	NA	NA
15	2564	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	NA	NA	NA
2	23	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	NA	NA	NA
7	130	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	NA	NA	NA
59	12917	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	NA
1	9	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Demequinaceae	NA	NA	NA
14	6615	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	NA	NA	NA
3	29	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Promicromonosporaceae	NA	NA	NA
2	124	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Beutenbergiaceae	NA	NA	NA
2	66	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermacoccaceae	NA	NA	NA
66	88443	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	NA	NA	NA
55	16368	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	NA	NA	NA
31	1790	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	NA	NA	NA
11	2388	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	NA	NA	NA
46	9335	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	NA	NA	NA
46	26191	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	NA	NA	NA
1	5	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	NA	NA	NA
32	2233	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	NA	NA
2	32	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	NA
1	715	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	NA	NA	NA
2	102	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	NA	NA	NA
3	152	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA	NA	NA
1	16	Bacteria	Chloroflexi	TK10	TK10	TK10	NA	NA	NA
6	374	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	NA	NA	NA
12	551	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
3	174	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	NA	NA	NA
4	53	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	NA	NA	NA
2	15	Bacteria	Chloroflexi	Anaerolineae	SJA-15	SJA-15	NA	NA	NA
4	132	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA	NA	NA
8	737	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
1	11	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	NA	NA	NA
2	15	Bacteria	Armatimonadota	uncultured	uncultured	uncultured	NA	NA	NA
30	4513	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadales	NA	NA	NA
41	10391	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	NA	NA	NA
5	311	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	NA	NA	NA
3	124	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	NA	NA
4	142	Bacteria	WPS-2	WPS-2	WPS-2	WPS-2	NA	NA	NA
30	2763	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	NA	NA	NA
3	64	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	NA	NA	NA
4	157	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	NA	NA	NA
3	13	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	NA	NA	NA
1	14	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	B1-7BS	NA	NA	NA
10	744	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	NA	NA	NA
6	263	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	NA	NA	NA
4	63	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	NA	NA	NA
2	286	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinimonadaceae	NA	NA	NA
47	18890	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA	NA
1	163	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	NA	NA	NA
66	135014	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA	NA
2	44	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	TRA3-20	NA	NA	NA
1	5	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinibacteraceae	NA	NA	NA
4	523	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Procabacteriaceae	NA	NA	NA
3	102	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	NA	NA	NA
1	18	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	NA	NA	NA
1	9	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA	NA	NA
1	8	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	NA	NA	NA
1	10	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	NA	NA	NA
3	217	Bacteria	Proteobacteria	Gammaproteobacteria	Orbales	Orbaceae	NA	NA	NA
1	6	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	NA	NA	NA
61	374893	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	NA
55	286846	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	NA	NA	NA
3	1802	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	NA	NA	NA
3	4015	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	NA	NA	NA
12	6669	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	NA	NA	NA
65	619113	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	NA	NA	NA
3	59	Bacteria	Proteobacteria	Gammaproteobacteria	R7C24	R7C24	NA	NA	NA
2	2203	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Wohlfahrtiimonadaceae	NA	NA	NA
40	27118	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	NA	NA	NA
7	496	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA	NA	NA
14	1335	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	NA	NA	NA
3	50	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	NA	NA	NA
3	239	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	NA	NA	NA
1	7	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	NA	NA	NA
1	17	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	NA	NA	NA
63	90241	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	NA	NA	NA
4	66	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	NA	NA	NA
1	9	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	NA	NA	NA
53	59916	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	NA	NA	NA
1	9	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD3-93	NA	NA	NA
7	3852	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	NA	NA	NA
1	5	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	NA	NA	NA
1	8	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	uncultured	NA	NA	NA
49	37858	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	NA
1	5	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	NA	NA	NA
6	1093	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	NA	NA	NA
57	183350	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	NA	NA	NA
26	11493	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA	NA
1	28	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Blattabacteriaceae	NA	NA	NA
1	22	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	NA	NA	NA
5	305	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	NA	NA	NA
7	1472	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	NA	NA	NA
4	239	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	NA	NA	NA
2	47	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	uncultured	NA	NA	NA
57	41508	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	NA	NA	NA
61	51052	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	NA	NA	NA
3	145	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA	NA
8	466	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	NA	NA	NA
5	241	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	Kapabacteriales	NA	NA	NA
26	1554	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	NA	NA	NA
11	529	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	NA	NA	NA
1	15	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	uncultured	NA	NA	NA
1	9	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Schlesneriaceae	NA	NA	NA
3	59	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	NA	NA	NA
1	5	Bacteria	Planctomycetota	Planctomycetes	uncultured	uncultured	NA	NA	NA
13	902	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA	NA
25	3377	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	NA
8	176	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	NA
1	60	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	NA	NA	NA
3	55	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA	NA
7	121	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	NA	NA	NA
23	4265	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	NA	NA	NA
10	1763	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	NA	NA	NA
7	573	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	NA	NA	NA
1	9	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	NA	NA	NA
2	39	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA	NA
1	36	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	NA	NA	NA
53	16143	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	NA	NA	NA
3	34	Bacteria	Myxococcota	Polyangia	Blfdi19	Blfdi19	NA	NA	NA
35	6380	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	NA	NA	NA
21	1557	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	NA	NA	NA
11	706	Bacteria	Myxococcota	Polyangia	Polyangiales	Phaselicystidaceae	NA	NA	NA
3	68	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	NA	NA	NA
3	25	Bacteria	Myxococcota	Polyangia	mle1-27	mle1-27	NA	NA	NA
4	568	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	NA	NA	NA
4	50	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	NA	NA	NA
1	42	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	NA	NA	NA
2	12	Bacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	NA	NA	NA
5	194	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexales	NA	NA	NA
4	60	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	NA	NA	NA
28	1858	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	NA	NA	NA
5	496	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	NA	NA	NA
1	3	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	NA	NA	NA
12	777	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	NA	NA	NA
7	185	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales	NA	NA	NA
3	31	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	NA	NA	NA
3	21	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	NA	NA	NA
15	572	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	uncultured	NA	NA	NA
13	2371	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	NA	NA	NA
3	77	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	NA	NA	NA
3	43	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	NA	NA	NA
6	166	Bacteria	Proteobacteria	Alphaproteobacteria	Caedibacterales	Caedibacteraceae	NA	NA	NA
5	275	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	NA	NA	NA
1	16	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	NA	NA	NA
68	237414	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA	NA
1	20	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured	NA	NA	NA
1	13	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	NA	NA	NA
2	39	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	NA	NA	NA
54	61245	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	NA
1	390	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	Parvibaculaceae	NA	NA	NA
70	176027	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	NA	NA	NA
5	144	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	D05-2	NA	NA	NA
20	4103	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylopilaceae	NA	NA	NA
40	11442	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	NA
1	7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Pleomorphomonadaceae	NA	NA	NA
6	548	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Labraceae	NA	NA	NA
32	8520	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	NA	NA	NA
1	15	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Kaistiaceae	NA	NA	NA
40	9786	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	NA	NA
16	1330	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA	NA
2	1488	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	NA	NA	NA
6	189	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	NA	NA	NA
12	391	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	NA	NA	NA
1	3	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	uncultured	NA	NA	NA
1	13	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	NA	NA	NA
64	19645	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	NA
1	15	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales_Incertae_Sedis	NA	NA	NA
1	21	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	uncultured	NA	NA	NA
70	305424	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	NA
